problem,instance,repeat,block,destroy,repair,seed,n_remove,routes_before,routes_after,cost_before,cost_after,gain,relative_gain_pct
cvrp,0,0,0,route_removal,sequential_insertion,13116909284864351437,10,8,8,19.96090138916856,20.967856713800767,-1.0069553246322087,-5.044638541116264
cvrp,0,0,0,cluster_removal,greedy_insertion,13150599452388135471,10,8,8,19.96090138916856,18.32210621297828,1.6387951761902784,8.210025911352593
cvrp,0,0,0,cluster_removal,regret_2,3615355725489489323,10,8,8,19.96090138916856,18.326184206442417,1.634717182726142,8.18959600498399
cvrp,0,0,0,cluster_removal,regret_3,17394563463179343320,10,8,8,19.96090138916856,18.29929626077617,1.661605128392388,8.32429906844803
cvrp,0,0,0,cluster_removal,greedy_with_noise,2316709768369698497,10,8,8,19.96090138916856,18.33102997667538,1.629871412493177,8.165319695319965
cvrp,0,0,0,cluster_removal,best_position_first,12528409453243108458,10,8,8,19.96090138916856,18.61872090098676,1.3421804881817998,6.7240474867037365
cvrp,0,0,0,cluster_removal,sequential_insertion,13060483967419356548,10,8,8,19.96090138916856,18.50671915255687,1.4541822366116897,7.285153151454256
cvrp,0,0,0,time_oriented_removal,greedy_insertion,12689192757297990793,10,8,8,19.96090138916856,20.070815899809112,-0.10991451064055369,-0.5506490338166637
cvrp,0,0,0,time_oriented_removal,regret_2,8207621158870274811,10,8,8,19.96090138916856,19.596299005957174,0.36460238321138405,1.8265827584781782
cvrp,0,0,0,time_oriented_removal,regret_3,13617328267100469976,10,8,8,19.96090138916856,18.57138871189968,1.389512677268879,6.961171994080761
cvrp,0,0,0,time_oriented_removal,greedy_with_noise,3952611505884795994,10,8,8,19.96090138916856,19.685803178659246,0.27509821050931293,1.3781853090992688
cvrp,0,0,0,time_oriented_removal,best_position_first,15844848800123012074,10,8,8,19.96090138916856,18.915029632282824,1.0458717568857345,5.239601842095462
cvrp,0,0,0,time_oriented_removal,sequential_insertion,8104503622977605193,10,8,8,19.96090138916856,18.893180735033873,1.0677206541346855,5.3490603120461575
cvrp,0,1,1,random_removal,greedy_insertion,1951738132100363693,10,8,8,21.399444232022965,19.691350413715412,1.7080938183075531,7.981954109590822
cvrp,0,1,1,random_removal,regret_2,4910700749252371684,10,8,8,21.399444232022965,20.06394353747315,1.3355006945498147,6.2408195281600785
cvrp,0,1,1,random_removal,regret_3,12772090323004632766,10,8,8,21.399444232022965,20.06394353747315,1.3355006945498147,6.2408195281600785
cvrp,0,1,1,random_removal,greedy_with_noise,6213937305897345676,10,8,8,21.399444232022965,19.92899365236862,1.4704505796543437,6.8714428454824255
cvrp,0,1,1,random_removal,best_position_first,12056923617364654124,10,8,8,21.399444232022965,19.91581055069805,1.483633681324914,6.93304772422429
cvrp,0,1,1,random_removal,sequential_insertion,6745255788075450354,10,8,8,21.399444232022965,20.167756408151924,1.2316878238710416,5.755700057050527
cvrp,0,1,1,shaw_removal,greedy_insertion,4033515326306290514,10,8,8,21.399444232022965,20.111963742672955,1.2874804893500098,6.0164202181633
cvrp,0,1,1,shaw_removal,regret_2,10894659172223434976,10,8,8,21.399444232022965,20.071442464726402,1.3280017672965627,6.205776901950046
cvrp,0,1,1,shaw_removal,regret_3,9855218437586399722,10,8,8,21.399444232022965,20.05840891331498,1.3410353187079842,6.266682929555742
cvrp,0,1,1,shaw_removal,greedy_with_noise,14589852477705062411,10,8,8,21.399444232022965,20.220492843260786,1.1789513887621794,5.509261717170909
cvrp,0,1,1,shaw_removal,best_position_first,6354712182107798554,10,8,8,21.399444232022965,20.112915486575535,1.2865287454474306,6.0119727012452895
cvrp,0,1,1,shaw_removal,sequential_insertion,9728778090702385878,10,8,8,21.399444232022965,20.07165137895777,1.3277928530651941,6.204800641870095
cvrp,0,1,1,worst_removal,greedy_insertion,12550177183429728517,10,8,8,21.399444232022965,19.1627763833805,2.2366678486424654,10.451990361952618
cvrp,0,1,1,worst_removal,regret_2,1220318706352709191,10,8,8,21.399444232022965,19.74459248805601,1.6548517439669546,7.733152908198288
cvrp,0,1,1,worst_removal,regret_3,9145805542055663378,10,8,8,21.399444232022965,18.71765066197468,2.681793570048285,12.532071118160836
cvrp,0,1,1,worst_removal,greedy_with_noise,4937378227815723088,10,8,8,21.399444232022965,19.150579135101005,2.2488650969219606,10.508988329503767
cvrp,0,1,1,worst_removal,best_position_first,1413421791027580804,10,8,8,21.399444232022965,18.77352837853202,2.6259158534909446,12.27095351178056
cvrp,0,1,1,worst_removal,sequential_insertion,4972305158166190843,10,8,8,21.399444232022965,18.735083154401522,2.664361077621443,12.450608757560108
cvrp,0,1,1,route_removal,greedy_insertion,7865876888375260125,10,8,8,21.399444232022965,19.36357269198496,2.0358715400380056,9.513665485720642
cvrp,0,1,1,route_removal,regret_2,14390392050718172520,10,8,8,21.399444232022965,19.36357269198496,2.0358715400380056,9.513665485720642
cvrp,0,1,1,route_removal,regret_3,10078411382551006948,10,8,8,21.399444232022965,19.380871344574874,2.018572887448091,9.432828561161505
cvrp,0,1,1,route_removal,greedy_with_noise,11910791820398700041,10,8,8,21.399444232022965,19.50270781989826,1.8967364121247066,8.863484451088484
cvrp,0,1,1,route_removal,best_position_first,97635769421045728,10,8,8,21.399444232022965,19.60560866582333,1.7938355661996361,8.382626888577182
cvrp,0,1,1,route_removal,sequential_insertion,7928536916833675507,10,8,8,21.399444232022965,19.36357269198496,2.0358715400380056,9.513665485720642
cvrp,0,1,1,cluster_removal,greedy_insertion,5491055702141751199,10,8,8,21.399444232022965,19.37718927428665,2.0222549577363154,9.450034943945573
