chain,generation,seed,status,attempts,error,l0_parent,l0_ancestor,l2_parent_calibration,l2_parent_validation,l2_ancestor_calibration,l2_ancestor_validation,l2_nearest_history_calibration,l2_nearest_history_validation,l2_nearest_history_calibration_adjusted,l2_nearest_history_validation_adjusted,self_noise_calibration,self_noise_validation,mean_gain_calibration,mean_gain_validation,behavior_revisit
1,5,regret_2,valid,0,,0.5782312925170068,0.9270833333333334,0.15571325138247918,0.16045752361527446,0.2062469446394987,0.23063132388730584,0.15571325138247918,0.16045752361527446,0.0,0.0,0.0,0.0,3.992980693940749,5.236489812371033,True
1,6,regret_2,valid,0,,0.5460526315789473,0.948905109489051,0.22245640240754277,0.21465647680932345,0.17473151762345873,0.1656009645201815,0.17473151762345873,0.1656009645201815,0.0,0.0,0.1843265201937065,0.17076632167196074,4.3061155999215694,5.37346123374584,True
1,7,regret_2,valid,0,,0.6009852216748768,0.9426751592356688,0.2317559313243574,0.2221995088551104,0.21008299270920147,0.22708124552743972,0.1677558605082988,0.1436220179636695,0.0,0.0,0.1882922448578091,0.11954270956586854,4.436788408505168,5.0756826399316015,True
1,8,regret_2,evaluation_failed,0,AttributeError: 'Problem' object has no attribute 'distances',nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2,0,block_reinsert,seed,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,3.1838720149490105,4.202854761239445,
2,1,block_reinsert,valid,0,,0.764102564102564,0.764102564102564,0.27672612149853887,0.2557025729175849,0.27672612149853887,0.2557025729175849,0.27672612149853887,0.2557025729175849,0.00985471402046828,0.0011265999908600666,0.2668714074780706,0.25457597292672485,3.1372633524981612,4.3186872392081534,True
2,2,block_reinsert,evaluation_failed,0,AttributeError: 'Problem' object has no attribute 'tw',nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2,3,block_reinsert,evaluation_failed,0,AttributeError: 'Problem' object has no attribute 'customers',nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2,4,block_reinsert,evaluation_failed,0,AttributeError: 'Problem' object has no attribute 'customers',nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2,5,block_reinsert,valid,0,,0.6225490196078431,0.8072727272727273,0.27248592623750095,0.24627418006480956,0.26602971620277965,0.25528542757228057,0.26602971620277965,0.24627418006480956,0.005614518759430365,0.0,0.0,0.0,4.163140251188688,5.174365609980822,True
2,6,block_reinsert,valid,0,,0.627177700348432,0.8160535117056856,0.15217171114794392,0.16709661563216108,0.26505456667519234,0.26136682652349197,0.15217171114794392,0.16709661563216108,0.0,0.0,0.21272363251072463,0.1828037981129896,4.257342727524064,4.903267346397715,True
2,7,block_reinsert,evaluation_failed,0,AttributeError: 'Problem' object has no attribute 'customers',nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
2,8,block_reinsert,valid,0,,0.356,0.8062283737024222,0.15752766780802863,0.15499835410220847,0.27853676446774644,0.2545276349003502,0.15752766780802863,0.15499835410220847,0.0,0.0,0.23498943529763056,0.18495133924574075,4.4969741149508735,5.022685414981288,True
3,0,new_route,seed,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,-37.55517780015571,-33.57478743425594,
3,1,new_route,valid,0,,0.7978723404255319,0.7978723404255319,0.34647279842806195,0.3372858052232509,0.34647279842806195,0.3372858052232509,0.34647279842806195,0.3372858052232509,0.07960139094999136,0.08270983229652606,0.2668714074780706,0.25457597292672485,3.1372633524981612,4.3186872392081534,True
3,2,new_route,valid,0,,0.4803149606299213,0.8527131782945736,0.2858118721418171,0.24638188013066972,0.34658616765082295,0.33939694453653085,0.2858118721418171,0.24638188013066972,0.018940464663746492,0.0,0.0,0.0,2.1322338629082345,4.3468421286986025,True
3,3,new_route,evaluation_failed,0,AttributeError: 'Problem' object has no attribute 'customer_locations',nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,4,new_route,valid,0,,0.5838150289017341,0.8620689655172413,0.3824613265147185,0.3859254034690287,0.33839598370708507,0.3328570716196357,0.33839598370708507,0.3328570716196357,0.0,0.0,0.37888625944222787,0.37996242393713464,-3.556032184400544,-2.068190594867682,True
3,5,new_route,valid,0,,0.6231155778894473,0.8867924528301887,0.38808855693679345,0.40344464695924975,0.33512700410752544,0.3378696769506676,0.33512700410752544,0.3378696769506676,0.0,0.0,0.3683838656828792,0.3752378398198331,-3.4756613665212823,-2.076619486594472,True
3,6,new_route,valid,0,,0.6462264150943396,0.8662420382165605,0.39162073685468324,0.3864335430137236,0.3447287862707755,0.3367902184813154,0.3447287862707755,0.3367902184813154,0.0,0.0,0.36819629134909365,0.3590877900350643,-2.0195174578321073,-1.3035544784951612,True
3,7,new_route,evaluation_failed,0,AssertionError: solution contains an empty or infeasible route,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
3,8,new_route,evaluation_failed,0,NameError: name 'next' is not defined,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
