problem,instance,repeat,block,destroy,repair,seed,n_remove,routes_before,routes_after,cost_before,cost_after,gain,relative_gain_pct
cvrp,1,0,2,random_removal,sequential_insertion,7779972903208649600,3,2,2,5.380695049434532,4.8471581771842995,0.5335368722502327,9.915761204610604
cvrp,1,0,2,shaw_removal,greedy_insertion,10412477989042881880,3,2,2,5.380695049434532,5.392880430248404,-0.01218538081387166,-0.22646480987901824
cvrp,1,0,2,shaw_removal,regret_2,12520649952306666034,3,2,2,5.380695049434532,5.2691572961217314,0.1115377533128008,2.0729246368370666
cvrp,1,0,2,shaw_removal,regret_3,549521330398748121,3,2,2,5.380695049434532,5.151831726216055,0.22886332321847735,4.253415611102678
cvrp,1,0,2,shaw_removal,greedy_with_noise,9317088624947255916,3,2,2,5.380695049434532,5.2691572961217314,0.1115377533128008,2.0729246368370666
cvrp,1,0,2,shaw_removal,best_position_first,10662788431732825929,3,2,2,5.380695049434532,5.380695049434532,0.0,0.0
cvrp,1,0,2,shaw_removal,sequential_insertion,8957760770833914671,3,2,2,5.380695049434532,5.196514494167869,0.18418055526666333,3.42298817484591
cvrp,1,0,2,worst_removal,greedy_insertion,5384290889356158205,3,2,2,5.380695049434532,5.337479999410396,0.04321505002413595,0.8031499578976791
cvrp,1,0,2,worst_removal,regret_2,7709698652954105603,3,2,2,5.380695049434532,5.325017164421093,0.05567788501343962,1.0347712424120916
cvrp,1,0,2,worst_removal,regret_3,12588173368395191056,3,2,2,5.380695049434532,5.173549895455918,0.20714515397861444,3.8497843136526337
cvrp,1,0,2,worst_removal,greedy_with_noise,10042229752235801629,3,2,3,5.380695049434532,5.431380014447556,-0.050684965013023664,-0.9419780260237987
cvrp,1,0,2,worst_removal,best_position_first,13432356749209281851,3,2,3,5.380695049434532,5.64109767841235,-0.2604026289778174,-4.83957233378583
cvrp,1,0,2,worst_removal,sequential_insertion,748008064180899376,3,2,3,5.380695049434532,5.5736046236159265,-0.1929095741813942,-3.585216638539429
cvrp,1,0,2,route_removal,greedy_insertion,2392401108276147090,3,2,2,5.380695049434532,5.306451386554249,0.07424366288028317,1.3798154736177732
cvrp,1,0,2,route_removal,regret_2,14070311552230938448,3,2,2,5.380695049434532,5.1453366532261535,0.23535839620837873,4.374126280081845
cvrp,1,0,2,route_removal,regret_3,3912905379375896769,3,2,2,5.380695049434532,5.1453366532261535,0.23535839620837873,4.374126280081845
cvrp,1,0,2,route_removal,greedy_with_noise,8279425470167167489,3,2,2,5.380695049434532,5.367049080208783,0.0136459692257489,0.2536097864751317
cvrp,1,0,2,route_removal,best_position_first,14491015439723741550,3,2,2,5.380695049434532,5.306451386554249,0.07424366288028317,1.3798154736177732
cvrp,1,0,2,route_removal,sequential_insertion,5602133623724054895,3,2,2,5.380695049434532,5.1453366532261535,0.23535839620837873,4.374126280081845
cvrp,1,0,2,cluster_removal,greedy_insertion,3777791151141907294,3,2,2,5.380695049434532,5.116737031545953,0.2639580178885792,4.905649092979522
cvrp,1,0,2,cluster_removal,regret_2,17014754949773133232,3,2,2,5.380695049434532,5.1453366532261535,0.23535839620837873,4.374126280081845
cvrp,1,0,2,cluster_removal,regret_3,13617217044626041706,3,2,2,5.380695049434532,5.2691572961217314,0.1115377533128008,2.0729246368370666
cvrp,1,0,2,cluster_removal,greedy_with_noise,205529015350098612,3,2,3,5.380695049434532,5.878066831818995,-0.49737178238446234,-9.243634471288837
cvrp,1,0,2,cluster_removal,best_position_first,4777700153391342576,3,2,2,5.380695049434532,5.205184215345641,0.17551083408889134,3.2618617571968906
